Year,State,All staff,Teachers,Teachers as a %
2003,Alabama,88893,47115,53.00192366
2003,Alaska,17101,8080,47.24869891
2003,Arizona,96639,47101,48.73912189
2003,Arkansas,63815,30330,47.52801066
2003,California,581756,307764,52.90259146
2003,Colorado,90397,45401,50.22401186
2003,Connecticut,86361,42296,48.97581084
2003,Delaware,14449,7698,53.27704339
2003,District of Columbia,11548,5005,43.34083824
2003,Florida,287091,138226,48.14710318
2003,Georgia,197944,96044,48.52079376
2003,Hawaii,20703,10973,53.00198039
2003,Idaho,24897,13896,55.81395349
2003,Illinois,257352,131046,50.92091765
2003,Indiana,126998,59968,47.21964125
2003,Iowa,67426,34573,51.27547237
2003,Kansas,63911,32643,51.07571467
2003,Kentucky,95839,40662,42.42740429
2003,Louisiana,102333,50062,48.92068052
2003,Maine,34586,16837,48.68154745
2003,Maryland,102642,55382,53.95647006
2003,Massachusetts,143922,74214,51.56543128
2003,Michigan,187093,89595,47.88794877
2003,Minnesota,105311,52808,50.14480918
2003,Mississippi,66133,31598,47.77947469
2003,Missouri,128124,66717,52.0722113
2003,Montana,18693,10362,55.43251485
2003,Nebraska,40743,21043,51.64813588
2003,Nevada,33443,20038,59.91687349
2003,New Hampshire,30087,14977,49.77897431
2003,New Jersey,199381,107004,53.66810278
2003,New Mexico,43826,21172,48.30922284
2003,New York,428045,210926,49.27659475
2003,North Carolina,169328,87677,51.77938675
2003,North Dakota,15090,8078,53.53214049
2003,Ohio,242372,125372,51.72709719
2003,Oklahoma,74422,40638,54.60482116
2003,Oregon,55042,27126,49.28236619
2003,Pennsylvania,231251,118256,51.13750859
2003,Rhode Island,18303,11196,61.17029995
2003,South Carolina,63039,46528,73.80827742
2003,South Dakota,19031,9257,48.64168987
2003,Tennessee,114358,58652,51.2880603
2003,Texas,594002,288655,48.59495423
2003,Utah,41588,22415,53.89775897
2003,Vermont,18384,8542,46.4643168
2003,Virginia,162994,99919,61.30225652
2003,Washington,112740,52953,46.96913252
